country,year,sex,age,suicides_no,population,HDI for year, gdp_for_year ($) 
Albania,1987,male,15-24 years,21,312900,,"2,156,624,900"
Albania,1987,male,35-54 years,16,308000,,"2,156,624,900"
Albania,1987,female,15-24 years,14,289700,,"2,156,624,900"
Albania,1987,male,75+ years,1,21800,,"2,156,624,900"
Albania,1987,male,25-34 years,9,274300,,"2,156,624,900"
Albania,1987,female,75+ years,1,35600,,"2,156,624,900"
Albania,1987,female,35-54 years,6,278800,,"2,156,624,900"
Albania,1987,female,25-34 years,4,257200,,"2,156,624,900"
Albania,1987,male,55-74 years,1,137500,,"2,156,624,900"
Albania,1987,female,5-14 years,,311000,,"2,156,624,900"
Albania,1987,female,55-74 years,,144600,,"2,156,624,900"
Albania,1987,male,5-14 years,,338200,,"2,156,624,900"
Albania,1988,female,75+ years,2,36400,,"2,126,000,000"
Albania,1988,male,15-24 years,17,319200,,"2,126,000,000"
Albania,1988,male,75+ years,1,22300,,"2,126,000,000"
Albania,1988,male,35-54 years,14,314100,,"2,126,000,000"
Albania,1988,male,55-74 years,4,140200,,"2,126,000,000"
Albania,1988,female,15-24 years,8,295600,,"2,126,000,000"
Albania,1988,female,55-74 years,3,147500,,"2,126,000,000"
Albania,1988,female,25-34 years,5,262400,,"2,126,000,000"
Albania,1988,male,25-34 years,5,279900,,"2,126,000,000"
Albania,1988,female,35-54 years,4,284500,,"2,126,000,000"
Albania,1988,female,5-14 years,,317200,,"2,126,000,000"
Albania,1988,male,5-14 years,,345000,,"2,126,000,000"
Albania,1989,male,75+ years,2,22500,,"2,335,124,988"
Albania,1989,male,25-34 years,18,283600,,"2,335,124,988"
Albania,1989,male,35-54 years,15,318400,,"2,335,124,988"
Albania,1989,male,55-74 years,6,142100,,"2,335,124,988"
Albania,1989,male,15-24 years,12,323500,,"2,335,124,988"
Albania,1989,female,35-54 years,7,288600,,"2,335,124,988"
Albania,1989,female,15-24 years,5,299900,,"2,335,124,988"
Albania,1989,female,25-34 years,2,266300,,"2,335,124,988"
Albania,1989,female,55-74 years,1,149600,,"2,335,124,988"
Albania,1989,female,5-14 years,,321900,,"2,335,124,988"
Albania,1989,female,75+ years,,37000,,"2,335,124,988"
Albania,1989,male,5-14 years,,349700,,"2,335,124,988"
Albania,1992,male,35-54 years,12,343800,,"709,452,584"
Albania,1992,male,15-24 years,9,263700,,"709,452,584"
Albania,1992,male,55-74 years,5,159500,,"709,452,584"
Albania,1992,male,25-34 years,7,245500,,"709,452,584"
Albania,1992,female,15-24 years,7,292400,,"709,452,584"
Albania,1992,female,25-34 years,4,267400,,"709,452,584"
Albania,1992,female,35-54 years,2,323100,,"709,452,584"
Albania,1992,female,55-74 years,1,164900,,"709,452,584"
Albania,1992,female,5-14 years,,336700,,"709,452,584"
Albania,1992,female,75+ years,,38700,,"709,452,584"
Albania,1992,male,5-14 years,,362900,,"709,452,584"
Albania,1992,male,75+ years,,23900,,"709,452,584"
Albania,1993,male,15-24 years,18,243300,,"1,228,071,038"
Albania,1993,male,55-74 years,7,165000,,"1,228,071,038"
Albania,1993,male,75+ years,1,24200,,"1,228,071,038"
Albania,1993,male,25-34 years,9,230100,,"1,228,071,038"
Albania,1993,female,15-24 years,1,285300,,"1,228,071,038"
Albania,1993,male,35-54 years,1,350300,,"1,228,071,038"
Albania,1993,female,25-34 years,7,261800,,"1,228,071,038"
Albania,1993,female,35-54 years,7,331200,,"1,228,071,038"
Albania,1993,female,55-74 years,2,169500,,"1,228,071,038"
Albania,1993,female,5-14 years,1,340300,,"1,228,071,038"
Albania,1993,male,5-14 years,1,367000,,"1,228,071,038"
Albania,1993,female,75+ years,,39300,,"1,228,071,038"
Albania,1994,male,75+ years,2,24600,,"1,985,673,798"
Albania,1994,male,55-74 years,11,171400,,"1,985,673,798"
Albania,1994,female,75+ years,2,39900,,"1,985,673,798"
Albania,1994,male,25-34 years,6,231400,,"1,985,673,798"
Albania,1994,male,35-54 years,9,362800,,"1,985,673,798"
Albania,1994,male,15-24 years,6,242200,,"1,985,673,798"
Albania,1994,female,15-24 years,6,282600,,"1,985,673,798"
Albania,1994,female,25-34 years,4,261100,,"1,985,673,798"
Albania,1994,female,35-54 years,2,342500,,"1,985,673,798"
Albania,1994,female,55-74 years,1,174600,,"1,985,673,798"
Albania,1994,male,5-14 years,1,371800,,"1,985,673,798"
Albania,1994,female,5-14 years,,344400,,"1,985,673,798"
Albania,1995,male,25-34 years,13,232900,0.619,"2,424,499,009"
Albania,1995,male,55-74 years,9,178000,0.619,"2,424,499,009"
Albania,1995,female,75+ years,2,40800,0.619,"2,424,499,009"
Albania,1995,female,15-24 years,13,283500,0.619,"2,424,499,009"
Albania,1995,male,15-24 years,11,241200,0.619,"2,424,499,009"
Albania,1995,male,75+ years,1,25100,0.619,"2,424,499,009"
Albania,1995,male,35-54 years,14,375900,0.619,"2,424,499,009"
Albania,1995,female,25-34 years,7,264000,0.619,"2,424,499,009"
Albania,1995,female,35-54 years,8,356400,0.619,"2,424,499,009"
Albania,1995,male,5-14 years,6,376500,0.619,"2,424,499,009"
Albania,1995,female,55-74 years,2,180400,0.619,"2,424,499,009"
Albania,1995,female,5-14 years,2,348700,0.619,"2,424,499,009"
Albania,1996,male,75+ years,2,25400,,"3,314,898,292"
Albania,1996,male,15-24 years,17,243600,,"3,314,898,292"
Albania,1996,male,25-34 years,14,235300,,"3,314,898,292"
Albania,1996,female,15-24 years,16,287700,,"3,314,898,292"
Albania,1996,female,75+ years,2,41200,,"3,314,898,292"
Albania,1996,female,25-34 years,1,267900,,"3,314,898,292"
Albania,1996,male,35-54 years,12,379600,,"3,314,898,292"
Albania,1996,female,35-54 years,9,362000,,"3,314,898,292"
Albania,1996,male,55-74 years,3,179900,,"3,314,898,292"
Albania,1996,female,55-74 years,1,183100,,"3,314,898,292"
Albania,1996,male,5-14 years,2,380400,,"3,314,898,292"
Albania,1996,female,5-14 years,1,354100,,"3,314,898,292"
Albania,1997,male,25-34 years,36,236000,,"2,359,903,108"
Albania,1997,male,15-24 years,33,244400,,"2,359,903,108"
Albania,1997,male,75+ years,3,25400,,"2,359,903,108"
Albania,1997,male,35-54 years,3,380800,,"2,359,903,108"
Albania,1997,female,15-24 years,21,294000,,"2,359,903,108"
Albania,1997,male,55-74 years,12,180300,,"2,359,903,108"
Albania,1997,female,25-34 years,16,273900,,"2,359,903,108"
Albania,1997,female,75+ years,2,42100,,"2,359,903,108"
Albania,1997,female,35-54 years,7,370100,,"2,359,903,108"
Albania,1997,female,5-14 years,6,361800,,"2,359,903,108"
Albania,1997,male,5-14 years,4,381500,,"2,359,903,108"
Albania,1997,female,55-74 years,,187000,,"2,359,903,108"
Albania,1998,male,75+ years,3,25800,,"2,707,123,772"
Albania,1998,male,15-24 years,27,248800,,"2,707,123,772"
Albania,1998,female,15-24 years,32,295600,,"2,707,123,772"
Albania,1998,male,25-34 years,26,240400,,"2,707,123,772"
Albania,1998,male,35-54 years,29,388200,,"2,707,123,772"
Albania,1998,male,55-74 years,9,183800,,"2,707,123,772"
Albania,1998,female,25-34 years,1,275300,,"2,707,123,772"
Albania,1998,female,55-74 years,6,188200,,"2,707,123,772"
Albania,1998,female,35-54 years,9,372100,,"2,707,123,772"
Albania,1998,male,5-14 years,2,388400,,"2,707,123,772"
Albania,1998,female,5-14 years,1,363800,,"2,707,123,772"
Albania,1998,female,75+ years,,42300,,"2,707,123,772"
Albania,1999,male,75+ years,3,25900,,"3,414,760,915"
Albania,1999,male,15-24 years,24,250600,,"3,414,760,915"
Albania,1999,female,75+ years,4,42400,,"3,414,760,915"
Albania,1999,male,35-54 years,31,391100,,"3,414,760,915"
Albania,1999,male,25-34 years,19,242300,,"3,414,760,915"
Albania,1999,male,55-74 years,14,185200,,"3,414,760,915"
Albania,1999,female,15-24 years,19,296800,,"3,414,760,915"
Albania,1999,female,25-34 years,13,276500,,"3,414,760,915"
Albania,1999,female,55-74 years,6,188800,,"3,414,760,915"
Albania,1999,female,35-54 years,5,373600,,"3,414,760,915"
Albania,1999,female,5-14 years,1,365200,,"3,414,760,915"
Albania,1999,male,5-14 years,,391300,,"3,414,760,915"
Albania,2000,male,25-34 years,17,232000,0.656,"3,632,043,908"
Albania,2000,male,55-74 years,1,177400,0.656,"3,632,043,908"
Albania,2000,female,75+ years,2,37800,0.656,"3,632,043,908"
Albania,2000,male,75+ years,1,24900,0.656,"3,632,043,908"
Albania,2000,female,15-24 years,6,263900,0.656,"3,632,043,908"
Albania,2000,male,15-24 years,5,240000,0.656,"3,632,043,908"
Albania,2000,female,35-54 years,5,332200,0.656,"3,632,043,908"
Albania,2000,female,25-34 years,3,245800,0.656,"3,632,043,908"
Albania,2000,male,35-54 years,4,374700,0.656,"3,632,043,908"
Albania,2000,male,5-14 years,1,374900,0.656,"3,632,043,908"
Albania,2000,female,5-14 years,,324700,0.656,"3,632,043,908"
Albania,2000,female,55-74 years,,168000,0.656,"3,632,043,908"
Albania,2001,male,25-34 years,22,206484,,"4,060,758,804"
Albania,2001,male,35-54 years,34,378826,,"4,060,758,804"
Albania,2001,male,55-74 years,11,196670,,"4,060,758,804"
Albania,2001,female,75+ years,2,47254,,"4,060,758,804"
Albania,2001,male,15-24 years,1,256039,,"4,060,758,804"
Albania,2001,female,15-24 years,9,271359,,"4,060,758,804"
Albania,2001,female,35-54 years,12,370191,,"4,060,758,804"
Albania,2001,male,75+ years,1,31044,,"4,060,758,804"
Albania,2001,female,55-74 years,6,189799,,"4,060,758,804"
Albania,2001,male,5-14 years,6,321556,,"4,060,758,804"
Albania,2001,female,25-34 years,4,222771,,"4,060,758,804"
Albania,2001,female,5-14 years,2,307356,,"4,060,758,804"
Albania,2002,male,75+ years,4,31007,,"4,435,078,648"
Albania,2002,male,25-34 years,23,206286,,"4,435,078,648"
Albania,2002,male,35-54 years,35,382139,,"4,435,078,648"
Albania,2002,male,55-74 years,13,198130,,"4,435,078,648"
Albania,2002,male,15-24 years,15,263067,,"4,435,078,648"
Albania,2002,female,15-24 years,14,275970,,"4,435,078,648"
Albania,2002,female,35-54 years,15,375113,,"4,435,078,648"
Albania,2002,female,25-34 years,7,223685,,"4,435,078,648"
Albania,2002,female,75+ years,1,47407,,"4,435,078,648"
Albania,2002,female,55-74 years,4,191712,,"4,435,078,648"
Albania,2002,female,5-14 years,1,304850,,"4,435,078,648"
